,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23,y'__24,Recall
y:label=0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=1,1,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8695
y:label=2,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9629
y:label=3,1,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96
y:label=4,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=5,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=6,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=7,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=8,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=9,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=10,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=11,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=12,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,1
y:label=13,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,1
y:label=14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1
y:label=15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20,0,0,0,0,0,0,0,0,0,0.8695
y:label=16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1
y:label=17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,1
y:label=18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,1
y:label=19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,0.9565
y:label=20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,1
y:label=21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,1
y:label=22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,26,0,0,0.9629
y:label=23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,1
y:label=24,1,2,3,1,1,1,0,0,2,0,2,3,0,0,0,0,0,1,0,1,2,0,0,1,40,0.6557
Precision,0.9230,0.8695,0.8387,0.96,0.9615,0.95,1,1,0.9393,1,0.9047,0.9,1,0.8823,1,1,1,0.8823,1,0.9565,0.9259,1,1,0.9523,1,
F-Measures,0.9599,0.8695,0.8965,0.96,0.9803,0.9743,1,1,0.9687,1,0.9499,0.9473,1,0.9374,1,0.9301,1,0.9374,1,0.9565,0.9615,1,0.9810,0.9755,0.7920,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy,0.9512,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Precision,0.9538,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Recall,0.9694,,,,,,,,,,,,,,,,,,,,,,,,,
Avg.F-Measures,0.9591,,,,,,,,,,,,,,,,,,,,,,,,,
