,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9,y'__10,y'__11,y'__12,y'__13,y'__14,y'__15,y'__16,y'__17,y'__18,y'__19,y'__20,y'__21,y'__22,y'__23,Recall
y:label=0,95,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0.9405
y:label=1,0,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0.9504
y:label=2,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.9903
y:label=3,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.9898
y:label=4,0,0,0,0,88,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0.9462
y:label=5,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.975
y:label=6,0,0,0,0,0,0,92,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.9684
y:label=7,0,0,0,0,3,1,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9560
y:label=8,1,0,0,0,1,0,1,1,87,0,6,0,0,0,0,0,0,1,1,2,1,0,0,0,0.8529
y:label=9,0,0,0,0,0,0,0,1,0,96,0,1,0,0,0,0,3,0,0,0,0,1,0,0,0.9411
y:label=10,0,0,2,0,1,0,0,0,0,0,105,0,0,0,0,1,0,0,0,0,0,0,0,0,0.9633
y:label=11,0,0,0,2,0,0,0,0,0,1,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0.9716
y:label=12,0,0,0,0,0,0,0,0,0,1,0,1,87,0,0,0,2,0,0,0,0,0,0,0,0.9560
y:label=13,0,0,0,0,0,1,0,0,0,0,2,0,0,87,0,0,0,6,0,0,0,0,0,0,0.9062
y:label=14,0,0,0,0,0,0,0,1,0,0,0,1,0,0,89,0,0,0,1,0,0,0,0,0,0.9673
y:label=15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0.9900
y:label=16,1,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,76,1,1,0,1,0,0,0,0.8941
y:label=17,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,69,0,0,0,2,0,0,0.8846
y:label=18,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,2,0,72,0,0,0,0,0,0.9
y:label=19,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,79,0,0,0,1,0.9294
y:label=20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,93,0,0,0,0.9893
y:label=21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,98,0,0,0.98
y:label=22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,1
y:label=23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,1
Precision,0.9693,0.96,0.9449,0.9423,0.9361,0.9397,0.9892,0.9456,1,0.96,0.9210,0.9363,0.9886,0.9775,0.9780,0.9433,0.9047,0.8734,0.9473,0.9753,0.9393,0.9333,0.98,0.9895,
F-Measures,0.9546,0.9551,0.9670,0.9654,0.9411,0.9570,0.9786,0.9507,0.9206,0.9504,0.9416,0.9536,0.9720,0.9405,0.9726,0.9660,0.8993,0.8789,0.9230,0.9517,0.9636,0.9560,0.9898,0.9947,
,,,,,,,,,,,,,,,,,,,,,,,,,
Accuracy,0.9530,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Precision,0.9531,,,,,,,,,,,,,,,,,,,,,,,,
Avg.Recall,0.9518,,,,,,,,,,,,,,,,,,,,,,,,
Avg.F-Measures,0.9518,,,,,,,,,,,,,,,,,,,,,,,,
